image_url,korean_specifications
http://25412776.s21i.faiusr.com/2/ABUIABACGAAg4LuTtwYo-tLygQQwoAY4oAY!400x400.jpg, 73x15mm-B1 产品型号： AGV73X15B1SSCPU020103 轮子直径： 73mm 轮子宽度： 15mm 胎面材质： 聚氨酯 胎面硬度： 邵氏 80A±3 胎面颜色： 黑色 轮芯材质： 不锈钢 产品负载： 50kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C   产品参数 尺寸图 资料下载 管道机器人驱动轮 单边圆弧设计贴合管道，增加受力点与摩擦力。表面防滑纹理，适用于各类管道场景。 性能： 定制： 防腐蚀   :    ★ ★ ★ ★ ☆                       ▶ 安装方式可定制 静音     ：   ★ ★ ★ ☆ ☆                       ▶ 颜色可定制 防滑     ：   ★ ★ ★ ★ ★                       ▶ 胎面硬度可定制 耐磨     ：   ★ ★ ★ ★ ☆ 耐油性 :    ★ ★ ★ ☆ ☆ - KOREAN TRANSLATED
http://25412776.s142i.faiusr.com/2/AI4BCKiJjwwQAhgAIInpo6kGKODsx7gCMO4FOOgH.jpg," EQ053TJ（PA） 轮子直径： 75~100mm 轮子宽度： 40mm 胎面材质： 尼龙 胎面硬度： 80D±3 胎面颜色： 白色 支架材质： 冲压型钢板 镀锌 轮芯材质： 尼龙 产品负载： 300~350kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C   产品参数 尺寸图 资料下载 脚踩式水平调节轮： 荣获国家专利证书，并通过欧盟ROHS环保认证。产品脚踩控制，利用杠杆原理，使脚轮行走时脚杯收起，静止脚杯支撑结构，避免使用者像传统的调节轮那样，辛苦使用扳手去调节。 性能： 定制： 防腐蚀 :   ★ ★ ★ ★ ☆                                           ▶ 安装方式可定制 静音   ： ★ ☆ ☆ ☆ ☆                                            ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★                                            ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ★ ☆ 规格： 尺寸 安装 方式 产品型号 轮径 (mm) 轮宽 (mm) 总高 (mm) 最低 (mm) 旋转 半径 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重 （kgs） 产品 重量 （kg） 3 "" 平板万向 EQ05318-75*40PAIPA030102 75 40 125 112 150 108X88 80X60/55 9 300 2.15 3.1 5 "" EQ05318-80*40PAIPA030102 80 40 128 114.5 150 108X88 80X60/55 9 350 2.25 4 "" EQ05318-100*40PAIPA030102 80 40 146 134 172.5 108X88 80X60/55 9 350 2.80 尺寸 安装 方式 产品型号 轮径 (mm) 轮宽 (mm) 总高 (mm) 最低 (mm) 偏心距 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重（kgs ） 产品 重量（kg） 3"" 平板 定向 EQ05308-75*40PAIPA030102 75 40 125 112 150 108X88 80X60/55 9 300 2.15 3.15 "" EQ05308-80*40PAIPA030102 80 40 128 114.5 150 108X88 80X60/55 9 350 2.25 4 "" EQ05308-100*40PAIPA030102 100 40 146 134 172.5 108X88 80X60/55 9 350 2.80 EQ053TJ-3寸PDF资料 载 下 EQ053TJ -3寸3D图纸-1 载下 EQ053TJ-3寸3D图纸-2 载 下 EQ053TJ-3.15寸PDF资料 载 下 EQ053TJ-3.15寸3D图纸-1 载 下 EQ053TJ-3.15寸3D图纸-2 下载 - KOREAN TRANSLATED"
http://25412776.s21i.faiusr.com/2/ABUIABACGAAgl6mIrQYokPGp_wYwoAY4oAY!400x400.jpg, JQR049 产品型号： JQR04910-60*25X2CCPU010202 轮子直径： 60mm 轮子宽度： 25x2mm 胎面材质： 聚氨酯 JPZK03 胎面硬度： 邵氏 93A±3 胎面颜色： 黑色 支架材质： 冲压型钢板 轮芯材质： 中碳 产品负载： 600kgs 行走速度： 5.4 km/h 轴承型号： 6200 使用温度： -25°C~+70°C   产品参数 尺寸图 资料下载 无人电动叉车辅助轮： 底部2个万向轮，可辅助电动叉车，堆高车横向、纵向移动、360°旋转。在其他轮子辅助情况下，可越障30mm。优选聚氨酯轮，行驶安静耐磨。 性能： 定制： 防腐蚀：★ ★ ★ ★ ☆                                             ▶ 安装方式可定制 静音   ： ★ ★ ★ ★ ★                                            ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★                                            ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ☆ ☆ - KOREAN TRANSLATED
http://25412776.s21i.faiusr.com/2/ABUIABACGAAgnKbusAYo8s213gMwoAY4oAY!400x400.jpg," 400x120mm-B1 产品型号： AGV400X120B1CCPU110703 轮子直径： 400mm 轮子宽度： 120mm 胎面材质： 聚氨酯 胎面硬度： 邵氏 93A±3 胎面颜色： 棕色 轮芯材质： 45号钢 产品负载： 5400kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C 产品重量： 27kg   产品参数 尺寸图 资料下载 高承载聚氨酯轮 承载能力强，最大负载可达5400kgs,平直胎面接触面大，增大摩擦力不易打滑。 聚氨酯包胶轮，耐磨损。 性能： 定制： 防腐蚀   :    ★ ★ ★ ★ ★                       ▶ 安装方式可定制 静音     ：   ★ ★ ★ ★ ☆                       ▶ 颜色可定制 防滑     ：   ★ ★ ★ ★ ★                       ▶ 胎面硬度可定制 耐磨     ：   ★ ★ ★ ★ ★ 耐油性 :    ★ ★ ★ ★ ★ - KOREAN TRANSLATED"
http://25412776.s142i.faiusr.com/2/AI4BCKiJjwwQAhgAIOOB_KwGKJLO2cIGMLgIOKAL.jpg," JQR052 轮子直径： 50~100mm 轮子宽度： 23x2mm 胎面材质： 聚氨酯 JPZK03 胎面硬度： 邵氏 83A/93A±3 胎面颜色： 黑色 支架材质： 冲压型钢板 镀锌 轮芯材质： 铝芯双轴承 产品负载： 150~200kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C   产品参数 尺寸图 资料下载 中型平板双轮系列： 支架头部平面压力轴承与深沟球限位轴承组合，既能承受垂直压力，又能抗扭力、抗冲击。轮片内外两侧防缠绕包裹式设计，贴合支架，盖子内嵌金属轴套，精度高，抗扭力强。双轮差速，原地转向更灵活。 性能： 定制： 防腐蚀 :   ★ ★ ★ ★ ☆                                            ▶ 安装方式可定制 静音   ： ★ ★ ★ ★ ★                                            ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★                                            ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ★ ★ 规格： 尺寸 安装 方式 产品型号 轮径 (mm) 轮宽 (mm) 高度 (mm) 旋转 半径 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重 （kgs） 产品 重量 （kg） 2 "" 平板万向 JQR05210-50*25X2ALCPU010201 (FCR) 50 25X2 85 55 110X85 86X60 8.5 150 2.5 "" JQR05210-65*25X2ALCPU010201 (FCR) 65 25X2 95 56 110X85 86X60 8.5 170 3 "" JQR05210-75*23X2ALCPU010201 (FCR) 75 23X2 107 63 110X85 86X60 8.5 180 1.3 4 "" JQR05210-100*23X2ALCPU010201 (FCR) 100 23X2 130 80 110X85 86X60 8.5 200 JQR052-PDF资料 下载 JQR052-CAD图纸 下载 JQR052-3D图纸 下载 - KOREAN TRANSLATED"
http://25412776.s142i.faiusr.com/2/AI4BCKiJjwwQAhgAIInpo6kGKODsx7gCMO4FOOgH.jpg," EQ053TJ (CPU) 轮子直径： 75~100mm 轮子宽度： 40mm 胎面材质： 聚氨酯 JPY003 胎面硬度： 邵氏 93A±3 胎面颜色： 黑色 支架材质： 冲压型钢板 镀锌 轮芯材质： 铝芯双轴承 产品负载： 300~350kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C   产品参数 尺寸图 资料下载 脚踩式水平调节轮： 荣获国家专利证书，并通过欧盟ROHS环保认证。产品脚踩控制，利用杠杆原理，使脚轮行走时脚杯收起，静止脚杯支撑结构，避免使用者像传统的调节轮那样，辛苦使用扳手去调节。 性能： 定制： 防腐蚀 :   ★ ★ ★ ★ ☆                                            ▶ 安装方式可定制 静音   ： ★ ★ ★ ★ ☆                                            ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★                                            ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ★ ☆ 规格： 尺寸 安装方式 产品型号 轮径 (mm) 轮宽 (mm) 总高 (mm) 最低 (mm) 旋转 半径 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重 （kgs） 产品 重量 （kg） 3 "" 平板万向 EQ05318-75*40ALCPU010102 75 40 125 112 150 108X88 80X60/55 9 300 2.15 3.15 "" EQ05318-80*40ALCPU010102 80 40 128 114.5 150 108X88 80X60/55 9 350 2.25 4 "" EQ05318-100*40ALCPU010102 100 40 146 134 172.5 108X88 80X60/55 9 350 2.80 尺寸 安装 方式 产品型号 轮径 (mm) 轮宽 (mm) 总高 (mm) 最低 (mm) 偏心距 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重 （kgs） 产品 重量（kg） 3"" 定向 EQ05308-75*40ALCPU010102 75 40 125 112 150 108X88 80X60/55 9 300 2.15 3.15 "" EQ05308-80*40ALCPU010102 80 40 128 114.5 150 108X88 80X60/55 9 350 2.25 4 "" EQ05308-100*40ALCPU010102 100 40 146 134 172.5 108X88 80X60/55 9 350 2.80 EQ053TJ-3寸PDF资料 载 下 EQ053TJ -3寸3D图纸-1 载下 EQ053TJ-3寸3D图纸-2 载 下 EQ053TJ-3.15寸PDF资料 载 下 EQ053TJ-3.15寸3D图纸-1 载 下 EQ053TJ-3.15寸3D图纸-2 下载 - KOREAN TRANSLATED"
http://25412776.s21i.faiusr.com/2/ABUIABACGAAgz_y_oQYokP3KowQwoAY4oAY!400x400.jpg, JQR013-FCR 产品型号： JQR01330-30*15ALCPU010101（FCR） 轮子直径： 30mm 轮子宽度： 15mm 胎面材质： 聚氨酯 胎面硬度： 邵氏 93A±3 胎面颜色： 黑色 支架材质： 冲压型钢板 镀锌 轮芯材质： 铝芯双轴承 产品负载： 20kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C 产品重量： 0.065kg   产品参数 尺寸图 资料下载 微型丝杆从动轮： 体型小巧节约产品空间，头部双轴承转向灵活抗冲击，支架冲压钢板一体成型。包裹 式缠绕盖，杜绝所有人类的毛发以及其他碎屑的缠绕，轮面高端聚氨酯，耐磨行走顺滑。 性能： 定制： 防腐蚀： ★ ★ ★ ★ ☆ ▶ 安装方式可定制 静音   ： ★ ★ ★ ★ ☆ ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★ ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ★ ★ 规格： 尺寸 安装 方式 产品 型号 轮径 (mm) 轮宽 (mm) 高度 (mm) 旋转 半径 (mm) 丝杆 尺寸 (mm) 六角 对边 (mm) 载重 （kgs） 产品 重量 （kg） 1.2 ” 丝杆万向 JQR01330-30*15ALCPU010101 30 15 45 26 M6*15 27 20 0.065 JQR013-CAD图纸 下载 JQR013-3D图纸 下载 - KOREAN TRANSLATED
http://25412776.s21i.faiusr.com/2/ABUIABACGAAgqs_drQYo0KWaqgEwoAY4oAY!400x400.jpg, JQR043 轮子直径： 65mm 轮子宽度： 50mm 胎面硬度： 邵氏 75A±3 胎面颜色： 棕色 支架材质： 冲压型钢板 轮芯材质： 铝合金 产品负载： 100kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C 电阻系数： 10∧7~10∧9 Ω   产品参数 尺寸图 资料下载 中轻型系列： 转向机构内置精密轴承使用更平顺，AGV节能省力。外嵌金属防护罩，美观耐用。支架电泳工艺，镀膜厚度均匀附着能力强，耐腐蚀性好。 性能： 定制： 防腐蚀： ★ ★ ★ ★ ☆                                            ▶ 安装方式可定制 静音   ： ★ ★ ★ ★ ★                                            ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★                                            ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ☆ ☆ 规格： 尺寸 安装方式 产品型号 轮径 (mm) 轮宽 (mm) 高度 (mm) 旋转 半径 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重 （kgs） 产品 重量 （kg） 2.5” 平板万向 JQR04310-65*50ALCPU070102 65 50 87 57 110x80 86.5x60 77.9x60 8.7 100 - KOREAN TRANSLATED
http://25412776.s142i.faiusr.com/2/AI4BCKiJjwwQAhgAIMmN_KwGKP6hrOIHMLgIOKAL.jpg," JQR062/A2 轮子直径： 65~125mm 轮子宽度： 30x2mm 胎面材质： 聚氨酯 JPZK03 胎面硬度： 邵氏 93A±3 胎面颜色： 黑色 支架材质： 冲压型钢板 镀锌 轮芯材质： 铝芯双轴承 产品负载： 350~500kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C   产品参数 尺寸图 资料下载 AGV重载从动轮： 双轮差速从动轮，原地转向更灵活。头部双轴承，平面轴承与深沟球限位轴承组合，既能承受垂直压力，又能抗扭力、冲击力。 性能： 定制： 防腐蚀 :   ★ ★ ★ ★ ☆                                           ▶ 安装方式可定制 静音   ： ★ ★ ★ ★ ☆                                            ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★                                            ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ☆ ☆ 规格： 尺寸 安装 方式 产品型号 轮径 (mm) 轮宽 (mm) 高度 (mm) 旋转 半径 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重 （kgs） 产品 重量 （kg） 2.5 "" 平板万向 JQR06210-65*30X2ALCPU010202 65 30X2 100 58 110X85/ 110X100 85X75/ 86X60/ 78X78 8.5 350 1.53 3 "" JQR06210-75*30X2ALCPU010202 75 30X2 109 64 8.5 400 2.15 3 "" JQR06210-76.5*30X2ALCPU010202 76.5 30X2 110 64 8.5 400 2.15 3.15 "" JQR06210-80*30X2ALCPU010202 80 30X2 111.5 64 10.5 400 4 "" JQR06210-100*30X2ALCPU010202 100 30X2 132 82 8.5 350 5"" JQR06210-125*30X2ALCPU010202 125 30X2 158 105 8.5 350 JQR062-PDF资料 下载 JQR062-CAD图纸 下载 JQR062-3D图纸 下载 - KOREAN TRANSLATED"
http://25412776.s142i.faiusr.com/2/AI4BCKiJjwwQAhgAIJ2E_KwGKLTF1c0BMLgIOKAL.jpg," JQR252 轮子直径： 65~100mm 轮子宽度： 23x2mm 胎面材质： 聚氨酯 JPZK03 胎面硬度： 邵氏 93A±3 胎面颜色： 黑色 支架材质： 冲压型钢板 镀锌 轮芯材质： 铝芯双轴承 产品负载： 180~230kgs 行走速度： 5.4 km/h 使用温度： -25°C~+70°C   产品参数 尺寸图 资料下载 AGV二级避震从动轮： 二级避震从动轮，双弹簧一级避震，聚氨酯块二级避震。避震结构使轮子在凹凸地面，不因震动而损坏。 性能： 定制： 防腐蚀：★ ★ ★ ★ ☆                                             ▶ 安装方式可定制 静音   ： ★ ★ ★ ★ ☆                                            ▶ 颜色可定制 精密   ： ★ ★ ★ ★ ★                                            ▶ 胎面硬度可定制 耐磨   ： ★ ★ ★ ★ ★ 防缠绕 :   ★ ★ ★ ★ ★ 规格 ： 尺寸 安装方式 产品型号 轮径 (mm) 轮宽 (mm) 总高 (mm) 最低 (mm) 旋转半径 (mm) 底板 尺寸 (mm) 孔距 (mm) 孔径 (mm) 载重 （kgs） 产品 重量 （kg） 2 .5"" 平板万向 JQR25210-65*25X2ALCPU020201 65 25X2 106 95 56 110X85 86X60 8.5 180 1.7 3 "" JQR25210-75*23X2ALCPU020201 (FCR) 75 23X2 116 105 62 110X85 86X60 8.5 200 1.76 4 "" JQR25210-100*23X2ALCPU020201(FCR) 100 23X2 147 132 84 110X85 86X60 8.5 230 2.08 减震行程 ： 尺寸 初始 高度 50 (KGS) 100 (KGS) 150 (KGS) 180 (KGS) 200 (KGS) 230 (KGS) 限位 高度 2 .5"" 106 98.5 97.5 96.6 96 / / 95 3 "" 116 110.5 109.4 108.6 / 108 / 105 4 "" 146 136.5 135.8 134.7 / 133.1 132.7 132 JQR252-2.5寸PDF资料 载 下 JQR252 -2.5寸3D图纸 载 下 JQR252-3寸PDF资料 载 下 JQR252 -3寸3D图纸 载 下 JQR252-4寸PDF资料 载 下 JQR252-4寸3D图纸 下载 - KOREAN TRANSLATED"
